Item,Review Title,Stars,Is_Positive?
Texas Instruments TI-83 Plus Graphing Calculator,Good,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,"It was a resanoble priced Ti-83,singel mom' dream.",5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Great product for those who are Math students.,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,TI-83 Plus,3 stars,0
Texas Instruments TI-83 Plus Graphing Calculator,Great calculator!,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Great for ACT & SAT,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,TI 83 Plus is the best calculator.,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Very Nice. Faster than previous.,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,"I know I got it used and listed as ""broken"" ",4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Simply A Great Calculator !!!!!!!!!!,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Great buy,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Good calculator,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Must have for every high school student,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Functions and Graphing features,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Great Product!!,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,TI Keyboard works great for me.,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Good to use,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Easy to Use and Fast with the Grapghing Function !!!,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,ti83 plus,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,My money was wasted and I'm left with feeling dissapointed.,1 stars,0
Texas Instruments TI-83 Plus Graphing Calculator,Best Deal!,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,TI-83 Plus Graphic Calculator,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Texas Instrument TI-83 Graphing Calculator,3 stars,0
Texas Instruments TI-83 Plus Graphing Calculator,So good I keep coming back to it!,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Schools dont supply these anymore!!,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Texas Instruments has an excellent easy to use product,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,texas instruments ti-83 plus graphic calculator,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Lightweight with great features,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Popularly used student calculator especially in college,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Math Students Best Friend,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Good not great,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Awesome Deal,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Refurbished TI-83 Plus Graphing Calculator Texas Instruments Graphic TI83,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Great working calculator,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,excellent instrument,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,CALCULATOR DOES NOT WORK,1 stars,0
Texas Instruments TI-83 Plus Graphing Calculator,TI-83 graphing calculator,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,just fine,3 stars,0
Texas Instruments TI-83 Plus Graphing Calculator,Loved it ,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,TI 83,3 stars,0
Texas Instruments TI-83 Plus Graphing Calculator,Good value. Almost perfect!,3 stars,0
Texas Instruments TI-83 Plus Graphing Calculator,Works great ,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Texas Instruments 83 plus Graphing Calculator,2 stars,0
Texas Instruments TI-83 Plus Graphing Calculator,"Wonderful product, and great for the cost!!",4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,"Worth the $45 bucks...definately. Who needs it new, used will work the same",5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Texas Instruments TI-83 Graphic Calculator,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,GREAT CALCULATOR,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Works well,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Price,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,TI-83+ Graphing Calculator,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,TI -83,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,great calculator,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Great and low cost,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,TI-83 Plus Graphic Calculator,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Best Calculator for High Level Math.,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,good - add color,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Great,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Early model with all of the essential features,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Exactly what we needed,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,"Great Calculator usually too expensive, school standard",5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Outstanding,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,True to the Description,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Perfect,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Perfect,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Great value. Great Product. Highly Recommend It.,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,"TI-83 plus, A must have for school!!",5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,I assume it's a good product.,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Good Calculator,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Satisfied,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,The bang for your buck!,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,good cheap graphing calc,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,I loved it!,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,TI 83 Plus,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,"A couple scratches, but in good shape",4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Not the best,3 stars,0
Texas Instruments TI-83 Plus Graphing Calculator,Works great!,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Very good purchase,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Daughter uses for high school math,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,TI-83 Silver,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,All around a must have for upper level high school and college math course.,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,"It's only a calculator, but...",5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,It's good,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,It's a graphing calculator,3 stars,0
Texas Instruments TI-83 Plus Graphing Calculator,Pretty Great!,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,My Experience with,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,"Works Fine, Little Damage",4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Just as described!,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Got here on time and does work but the keys are really sticky.  Maybe damaged by soda? But I tried it with good batteries and it worked.,3 stars,0
Texas Instruments TI-83 Plus Graphing Calculator,Calculator 🤢,3 stars,0
Texas Instruments TI-83 Plus Graphing Calculator,Calculator Review,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,GREAT  helped so much on my test,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,TI-83 Plus Graphing Calculator,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,"Beautiful, not ugly!",5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Essential for College Math Courses,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Hehlpful,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Calculator worthless,1 stars,0
Texas Instruments TI-83 Plus Graphing Calculator,Good product.,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Just what the teacher ordered!,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,TI-83 Calculator,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,TI-83 Calculator,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Super nice graphing calculator!!!,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,TI-83 Plus Graphic Calculator,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Great graphing calculator,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Won't turn on,1 stars,0
Texas Instruments TI-83 Plus Graphing Calculator,Great calculator for school and every day use,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Does Not Work!,1 stars,0
Texas Instruments TI-83 Plus Graphing Calculator,Best calculator ever owned!,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Texas Instruments TI-83 Plus Graphic Calculator,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,TI-83 plus  aka: AMAZING,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,works fine,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Easy to use and fully functional for all application needs!,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Great price and fast shipping. Just as described. Thanks!,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Worked fine,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Speedy and practically mint,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,TI 83 Plus Buying Guide,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Texas Instruments TI-83 Plus Graphic Calculator,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Pretty good ,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Easy Installation,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,TI-83 Graphic Calculator,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Great condition for a great price,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Great Calculator!,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,I am very satisfied!,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Calculator has been an excellent algebra tool for my nice.,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Great condition,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,NOT RECOMMENDED ,1 stars,0
Texas Instruments TI-83 Plus Graphing Calculator,Great calculator for high school and Statistics,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Texas Instruments TI-35 Calculator,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Ti-83,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,In great shape!,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Calculates but hardly Relates,3 stars,0
Texas Instruments TI-83 Plus Graphing Calculator,"Good, but...",4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,great packaging,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,TI83 great scientific calculator.,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Nice Calculator!,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Does not work properly from the beginning,1 stars,0
Texas Instruments TI-83 Plus Graphing Calculator,Fully Functional Graphing Calculator For A Fraction Of The Price,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Best calculator for the SAt Test,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,"Nice, but a little complicated",4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Died at day 41,3 stars,0
Texas Instruments TI-83 Plus Graphing Calculator,texas instruments 83 plus graphic calculator,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Good product,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Great product for the best price,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,"Works, But Barely.",2 stars,0
Texas Instruments TI-83 Plus Graphing Calculator,Awesome find,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Calculator Madness!!!,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Super AWESOME machine and totally RELIABLE...been using it since 2000!!!,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Review of the TI-83,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,The TI-83 Plus is an all-around nice calculator.,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,A good review of the old system,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Great . Works perfectly .,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Best Graphic Calculator IMHO.,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,"Easy to use, Does its Job!",5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Texas Instrument,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Adequate for my use,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,The calculator didn't work,1 stars,0
Texas Instruments TI-83 Plus Graphing Calculator,Great product and great for kids to use for HS Math,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Classic,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Awesome,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Great Product!,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Good deal!,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Lightweight and compact.,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Awesome all the way around!,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,"yes, quite suffiently great, yes, yes yes",5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Good condition just a few defects,3 stars,0
Texas Instruments TI-83 Plus Graphing Calculator,"looks good, does not work ",2 stars,0
Texas Instruments TI-83 Plus Graphing Calculator,Great for the Price,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,"So far, so good",5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Great product for price,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,It is the same model that replaced my old one,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,An awesome tool.,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,All the features I needed.,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Works like a charm,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Glitchy Screen,1 stars,0
Texas Instruments TI-83 Plus Graphing Calculator,perfect shape,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,TI-83,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Great!!,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,None Better,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Good,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,The title had all the info needed for an easy search.,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Calculator,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,60/40,3 stars,0
Texas Instruments TI-83 Plus Graphing Calculator,calculator,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,"Easy to use, everything needed to do College Algebra and Trigonometry",5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Calculator value.,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Grand son was happy,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Ok calculator,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Great price,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Cheaper than the new TI-83's,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Buying second hand calculator,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Excellent tool and the price is right,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Awesome ,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Texas Instruments TI-83 Plus Graphic Calculator,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,The TI 83 Calculator is a useful product to have,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Just as Described ,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Great graphing calculator,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Exactly What Is Described,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,"Worked Well, Horrendous Shipping Times.",2 stars,0
Texas Instruments TI-83 Plus Graphing Calculator,Terrible ,1 stars,0
Texas Instruments TI-83 Plus Graphing Calculator,Im so happy with this.,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,"My son needed a graphing calculator for school, and this one perfectly fit the bill. Easy to read and use.",5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,"Great Price, Actually Works",5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Works as promised and good value,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,good product,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Everything in one,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Nice calculator,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Fine but,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,thanks to u i’m not gonna fail precalc,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Love it,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,TI-83 Plus,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Good Deal,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,purchse of TI-83 calculator,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Good calculator,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Great Value,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Calculator,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Good graphing calculator for students,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,A must have item for ruling the local universe.,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,"Great product used for school , works well.",5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Superior function/price ratio,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Great Value,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Great Price Great Calculator,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,"works, exactly what I needed, way cheaper than new",5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Buy this instead of the newer model and save yourself some money!,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,It's a numbers game....,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Good starter graphing calculator,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Good!  ,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Fast shipping good service,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Very Complex but easy to use,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,TI-83 Plus,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,awesome calculator!,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Great calculator for middle & high school ... and beyond!,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Graphing Calculator,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Great deal got my item on Time  in good shape,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Great calculator,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Basic calculator with a little magic. No great apps...,3 stars,0
Texas Instruments TI-83 Plus Graphing Calculator,Great value product,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,TI-83 Plus is a much more standard calculator,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Good as new,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Great,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Works great,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,"Good price, perfect condition",5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,TI-83 is wonderful!!!,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,TI-83 Plus Calc,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Most Recommended Graphic Calculator,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Great calculator,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,“Calculator”,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Used TI-83 plus Calculator,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Just what me student needed!,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Outstanding calculator---especially for Statistics!,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Quality for a good price,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,TI-83 Plus review,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Love it!,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Dopetastic Calculating Ol' Chap,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,"Wonderful product, easy to use. Fantastic price!!",5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Excellent!!,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Eh could be worse,3 stars,0
Texas Instruments TI-83 Plus Graphing Calculator,Received sooner than it said,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,TI 83 calculator,4 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,TI-83 Calculator,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Poor Quality,1 stars,0
Texas Instruments TI-83 Plus Graphing Calculator,It works,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,Texas Instruments TI-83 Plus Graphic Calculator,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,New to use,5 stars,1
Texas Instruments TI-83 Plus Graphing Calculator,"Great little calculator, perfect for school!",5 stars,1
